installment_value,high_installment_flag,used_voucher,delivered_in_days,delivery_speed_flag,delivery_distance_in_km,is_repeat_buyer
163.53,0,0,14.0,3,,0
163.53,0,0,14.0,3,,0
163.53,0,0,14.0,3,,0
10.37,1,0,13.0,2,,0
13.43,1,0,23.0,3,1472.81,0
38.11,1,0,17.0,3,2167.16,0
19.71,1,0,6.0,1,,0
20.29,1,0,12.0,2,908.39,0
20.29,1,0,12.0,2,908.39,0
83.41,0,0,12.0,2,436.42,0
44.59,1,0,9.0,1,273.77,0
25.75,1,0,13.0,2,341.1,0
103.36,0,0,5.0,1,199.13,0
59.79,1,0,19.0,3,,0
64.09,1,0,5.0,1,468.71,0
43.94,1,0,16.0,3,641.68,0
54.32,1,0,16.0,3,491.63,0
54.32,1,0,16.0,3,491.63,0
54.32,1,0,16.0,3,491.63,0
11.04,1,0,5.0,1,459.52,0
30.66,1,0,7.0,1,,0
150.17,0,0,9.0,1,,0
500.51,0,0,41.0,3,,0
102.7,1,0,41.0,3,,0
164.79,0,0,9.0,1,,0
22.36,1,0,8.0,1,93.14,0
63.49,1,0,17.0,3,,0
24.87,1,0,4.0,1,54.4,0
21.76,1,0,9.0,1,,0
32.78,1,0,11.0,1,756.74,0
170.71,0,0,16.0,3,686.65,0
289.83,0,0,2.0,1,,0
75.29,0,0,9.0,1,,0
75.29,0,0,9.0,1,,0
25.54,1,0,4.0,1,,0
186.27,0,0,10.0,1,2061.46,0
13.76,1,0,42.0,3,2127.32,0
41.0,1,0,14.0,3,,0
10.56,1,0,16.0,3,2024.95,0
274.12,0,0,7.0,1,845.18,0
103.27,0,0,21.0,3,1907.98,0
21.75,1,0,28.0,3,1486.85,0
54.0,1,0,12.0,2,,0
73.27,0,0,10.0,1,,0
10.15,1,0,35.0,3,311.73,0
58.18,1,0,15.0,3,725.07,0
16.94,1,0,22.0,3,560.44,1
77.98,0,0,13.0,2,219.32,0
55.69,1,0,19.0,3,313.65,1
55.69,1,0,19.0,3,313.65,1
359.97,0,0,11.0,1,508.72,0
96.22,0,0,21.0,3,754.31,0
61.86,1,0,33.0,3,1512.93,0
160.24,0,0,8.0,1,,0
273.47,0,0,4.0,1,351.91,0
44.63,1,0,25.0,3,2306.29,0
75.08,0,0,8.0,1,348.22,0
27.62,1,0,10.0,1,,0
68.57,1,0,19.0,3,,0
28.75,1,0,3.0,1,280.18,0
62.01,1,0,15.0,3,509.34,0
106.57,0,0,8.0,1,337.4,0
103.55,0,0,11.0,1,202.19,0
209.29,1,0,126.0,3,2287.99,0
125.55,0,0,8.0,1,,1
24.57,1,0,4.0,1,936.69,0
53.7,1,0,8.0,1,287.06,0
110.69,0,0,3.0,1,241.76,0
11.54,1,0,15.0,3,663.17,0
62.48,1,0,6.0,1,807.42,0
77.95,0,0,10.0,1,548.94,0
19.98,1,0,8.0,1,592.48,0
10.04,1,0,28.0,3,316.0,0
10.04,1,0,28.0,3,316.0,0
204.04,1,0,9.0,1,55.06,0
11.48,1,0,11.0,1,,0
37.84,1,0,23.0,3,745.1,0
77.16,0,0,6.0,1,893.04,0
26.42,1,0,15.0,3,,0
26.42,1,0,15.0,3,526.16,0
20.29,1,0,4.0,1,,0
52.43,1,0,20.0,3,1464.11,0
52.43,1,0,20.0,3,1464.11,0
10.64,1,0,17.0,3,,0
68.23,0,0,16.0,3,5.01,0
10.58,1,0,10.0,1,478.99,0
29.88,1,0,18.0,3,585.41,0
122.7,0,0,9.0,1,,0
122.7,0,0,9.0,1,459.8,0
201.74,0,0,11.0,1,776.28,0
33.28,1,0,9.0,1,,0
33.28,1,0,9.0,1,,0
33.28,1,0,9.0,1,,0
33.28,1,0,9.0,1,,0
70.25,0,0,15.0,3,,0
70.25,0,0,15.0,3,,0
323.44,0,0,7.0,1,,0
323.44,0,0,7.0,1,317.4,0
42.0,1,0,6.0,1,235.96,0
29.95,1,0,10.0,1,,0
91.31,0,0,8.0,1,454.9,0
161.86,0,0,23.0,3,2064.93,0
94.9,1,0,14.0,3,26.21,0
59.33,1,0,5.0,1,,0
27.26,1,0,15.0,3,643.52,0
11.03,1,0,16.0,3,730.09,0
206.07,0,0,14.0,3,178.98,0
19.24,1,0,26.0,3,901.81,0
19.24,1,0,26.0,3,901.81,0
13.62,1,0,17.0,3,,0
89.25,0,1,17.0,3,,0
22.56,1,0,8.0,1,,0
11.95,1,0,10.0,1,313.8,1
31.69,1,0,12.0,2,,0
15.26,1,0,2.0,1,42.56,1
15.26,1,0,2.0,1,,1
15.26,1,0,2.0,1,,1
123.49,0,0,7.0,1,411.65,0
65.22,1,0,8.0,1,,0
36.05,1,0,7.0,1,387.43,0
58.68,1,0,8.0,1,1205.07,0
18.46,1,1,7.0,1,546.22,0
6.51,1,0,7.0,1,546.22,0
94.74,0,0,7.0,1,2298.58,0
28.61,1,0,5.0,1,,0
28.61,1,0,5.0,1,,0
23.09,1,0,12.0,2,365.67,0
23.09,1,0,12.0,2,365.67,0
10.9,1,0,17.0,3,,0
20.9,1,0,11.0,1,,0
10.27,1,0,8.0,1,,0
223.45,0,0,6.0,1,,0
164.81,0,0,8.0,1,247.43,0
39.42,1,0,44.0,3,,0
32.62,1,0,8.0,1,,0
34.54,1,0,6.0,1,190.92,1
34.54,1,0,6.0,1,122.36,1
34.54,1,0,6.0,1,,1
47.23,1,0,6.0,1,,0
100.0,0,1,15.0,3,,0
39.89,1,0,15.0,3,,0
100.0,0,1,15.0,3,,0
39.89,1,0,15.0,3,,0
100.0,0,1,15.0,3,,0
39.89,1,0,15.0,3,,0
16.7,1,0,17.0,3,,0
172.53,0,0,17.0,3,1085.72,0
35.36,1,0,13.0,2,894.51,0
136.1,0,0,27.0,3,358.71,0
59.33,1,0,7.0,1,120.87,0
134.15,0,0,12.0,2,,0
28.39,1,0,23.0,3,1155.7,0
12.75,1,0,14.0,3,1577.41,1
65.67,1,0,3.0,1,397.66,0
61.08,1,0,21.0,3,,0
114.85,0,0,19.0,3,927.38,0
24.98,1,0,16.0,3,272.12,0
47.44,1,1,2.0,1,,0
20.93,1,0,7.0,1,,0
64.28,1,0,8.0,1,817.75,0
24.66,1,0,5.0,1,134.3,0
14.19,1,0,5.0,1,,1
57.68,1,0,5.0,1,,0
44.14,1,0,18.0,3,237.67,0
44.14,1,0,18.0,3,237.67,0
